,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BELGIUM,25
3,BELGIUM,25
4,COSTA RICA,500
5,<span style="color: brown;"><b>CROATIA</b></span>,481
6,<span style="color: brown;"><b>CROATIA</b></span>,481
7,<span style="color: silver;"><b>FRANCE</b></span>,187
8,<span style="color: silver;"><b>FRANCE</b></span>,187
9,<span style="color: silver;"><b>FRANCE</b></span>,187
10,<span style="color: silver;"><b>FRANCE</b></span>,187
