,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BRAZIL,20
4,BRAZIL,20
5,BRAZIL,20
6,ENGLAND,40
7,ENGLAND,40
8,<span style="color: silver;"><b>FRANCE</b></span>,106
9,<span style="color: silver;"><b>FRANCE</b></span>,106
10,<span style="color: silver;"><b>FRANCE</b></span>,106
