,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BELGIUM,13
3,BRAZIL,20
4,DENMARK,5
5,ENGLAND,40
6,<span style="color: silver;"><b>FRANCE</b></span>,106
7,GERMANY,11
8,NETHERLANDS,43
9,PORTUGAL,46
10,SPAIN,21
