,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: gold;"><b>ARGENTINA</b></span>,246
3,<span style="color: gold;"><b>ARGENTINA</b></span>,246
4,BELGIUM,25
5,BELGIUM,25
6,BRAZIL,37
7,BRAZIL,37
8,ENGLAND,79
9,SPAIN,43
10,SPAIN,43
