,<b>Team</b>,<b>Points</b>
1,BELGIUM,13
2,BRAZIL,20
3,CAMEROON,188
4,ENGLAND,40
5,GERMANY,11
6,IRAN,43
7,NETHERLANDS,43
8,PORTUGAL,46
9,QATAR,0
10,USA,54
