,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,<span style="color: gold;"><b>ARGENTINA</b></span>,125
4,BELGIUM,13
5,BRAZIL,20
6,BRAZIL,20
7,BRAZIL,20
8,<span style="color: silver;"><b>FRANCE</b></span>,106
9,MEXICO,28
10,PORTUGAL,46
