,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,DENMARK,5
3,ENGLAND,40
4,JAPAN,150
5,MOROCCO,396
6,NETHERLANDS,43
7,SERBIA,8
8,SWITZERLAND,62
9,USA,54
10,URUGUAY,17
