,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BRAZIL,37
3,ENGLAND,79
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,MOROCCO,950
6,NETHERLANDS,79
7,QATAR,0
8,SENEGAL,89
9,SERBIA,14
10,SPAIN,43
