,<b>Team</b>,<b>Points</b>
1,DENMARK,5
2,ECUADOR,50
3,GERMANY,11
4,IRAN,43
5,MEXICO,28
6,MOROCCO,396
7,SENEGAL,24
8,SERBIA,8
9,SWITZERLAND,62
10,TUNISIA,88
