,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BELGIUM,13
3,CANADA,0
4,DENMARK,5
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,MOROCCO,396
8,POLAND,65
9,SWITZERLAND,62
10,USA,54
