,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,<span style="color: gold;"><b>ARGENTINA</b></span>,478
3,GERMANY,500
4,GERMANY,500
5,MEXICO,250
6,MEXICO,250
7,TUNISIA,150
8,TUNISIA,150
9,URUGUAY,300
10,URUGUAY,300
