,<b>Team</b>,<b>Points</b>
1,COSTA RICA,83
2,DENMARK,500
3,GHANA,333
4,IRAN,111
5,MEXICO,250
6,SAUDI ARABIA,143
7,SERBIA,500
8,TUNISIA,150
9,URUGUAY,300
10,WALES,500
