,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BRAZIL,37
3,<span style="color: silver;"><b>FRANCE</b></span>,187
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,GERMANY,21
6,NETHERLANDS,79
7,NETHERLANDS,79
8,PORTUGAL,68
9,SPAIN,43
10,USA,119
