,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,<span style="color: silver;"><b>FRANCE</b></span>,106
4,<span style="color: silver;"><b>FRANCE</b></span>,106
5,GERMANY,11
6,GERMANY,11
7,GERMANY,11
8,GERMANY,11
9,PORTUGAL,46
10,PORTUGAL,46
