,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,493
2,<span style="color: gold;"><b>ARGENTINA</b></span>,493
3,<span style="color: brown;"><b>CROATIA</b></span>,212
4,<span style="color: brown;"><b>CROATIA</b></span>,212
5,JAPAN,68
6,JAPAN,68
7,MOROCCO,114
8,MOROCCO,114
9,MOROCCO,114
10,SWITZERLAND,357
