,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: gold;"><b>ARGENTINA</b></span>,246
3,<span style="color: brown;"><b>CROATIA</b></span>,481
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,JAPAN,500
6,MOROCCO,950
7,MOROCCO,950
8,NETHERLANDS,79
9,SOUTH KOREA,500
10,TUNISIA,500
