,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,125
2,BRAZIL,294
3,COSTA RICA,83
4,<span style="color: brown;"><b>CROATIA</b></span>,212
5,<span style="color: brown;"><b>CROATIA</b></span>,212
6,<span style="color: silver;"><b>FRANCE</b></span>,515
7,IRAN,111
8,MOROCCO,114
9,MOROCCO,114
10,SOUTH KOREA,77
