,<b>Team</b>,<b>Points</b>
1,CAMEROON,250
2,COSTA RICA,500
3,IRAN,500
4,JAPAN,500
5,MOROCCO,950
6,MOROCCO,950
7,SAUDI ARABIA,333
8,SOUTH KOREA,500
9,SWITZERLAND,250
10,TUNISIA,500
