,<b>Team</b>,<b>Points</b>
1,COSTA RICA,500
2,IRAN,500
3,JAPAN,500
4,JAPAN,500
5,MOROCCO,950
6,MOROCCO,950
7,MOROCCO,950
8,MOROCCO,950
9,SOUTH KOREA,500
10,TUNISIA,500
