,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,AUSTRALIA,278
3,BRAZIL,37
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,JAPAN,500
6,MOROCCO,950
7,SOUTH KOREA,500
8,SWITZERLAND,250
9,TUNISIA,500
10,USA,119
