,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,202
2,<span style="color: brown;"><b>CROATIA</b></span>,202
3,<span style="color: brown;"><b>CROATIA</b></span>,202
4,MOROCCO,110
5,MOROCCO,110
6,MOROCCO,110
7,SOUTH KOREA,77
8,SOUTH KOREA,77
9,SOUTH KOREA,77
10,SOUTH KOREA,77
