,<b>Team</b>,<b>Points</b>
1,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">BELGIUM</span>,43
2,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">DENMARK</span>,14
3,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">DENMARK</span>,14
4,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">DENMARK</span>,14
5,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">DENMARK</span>,14
6,<span style="color: silver;"><b>FRANCE</b></span>,283
7,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">NETHERLANDS</span>,131
8,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">NETHERLANDS</span>,131
9,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">NETHERLANDS</span>,131
10,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">NETHERLANDS</span>,131
