,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,446
2,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">BELGIUM</span>,43
3,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">BELGIUM</span>,43
4,<span style="-webkit-text-decoration: line-through; text-decoration: line-through; -webkit-text-decoration-thickness: 1.5px; text-decoration-thickness: 1.5px; -webkit-text-decoration-color: red; text-decoration-color: red;">COSTA RICA</span>,500
5,<span style="color: brown;"><b>CROATIA</b></span>,595
6,<span style="color: brown;"><b>CROATIA</b></span>,595
7,<span style="color: silver;"><b>FRANCE</b></span>,283
8,<span style="color: silver;"><b>FRANCE</b></span>,283
9,<span style="color: silver;"><b>FRANCE</b></span>,283
10,<span style="color: silver;"><b>FRANCE</b></span>,283
