,<b>Team</b>,<b>Points</b>
1,COSTA RICA,500
2,DENMARK,10
3,GHANA,111
4,IRAN,500
5,MEXICO,94
6,SAUDI ARABIA,333
7,SERBIA,14
8,TUNISIA,500
9,URUGUAY,41
10,WALES,45
