,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,481
2,<span style="color: brown;"><b>CROATIA</b></span>,481
3,<span style="color: silver;"><b>FRANCE</b></span>,187
4,JAPAN,500
5,JAPAN,500
6,MOROCCO,950
7,SENEGAL,89
8,SOUTH KOREA,500
9,SWITZERLAND,250
10,TUNISIA,500
