,<b>Team</b>,<b>Points</b>
1,COSTA RICA,83
2,<span style="color: brown;"><b>CROATIA</b></span>,202
3,<span style="color: brown;"><b>CROATIA</b></span>,202
4,<span style="color: brown;"><b>CROATIA</b></span>,202
5,<span style="color: brown;"><b>CROATIA</b></span>,202
6,MOROCCO,110
7,MOROCCO,110
8,MOROCCO,110
9,MOROCCO,110
10,SAUDI ARABIA,143
