,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,125
2,AUSTRALIA,125
3,<span style="color: brown;"><b>CROATIA</b></span>,212
4,<span style="color: brown;"><b>CROATIA</b></span>,212
5,<span style="color: brown;"><b>CROATIA</b></span>,212
6,JAPAN,68
7,JAPAN,68
8,MOROCCO,114
9,MOROCCO,114
10,MOROCCO,114
