,<b>Team</b>,<b>Points</b>
1,BELGIUM,500
2,CAMEROON,300
3,ECUADOR,375
4,GERMANY,500
5,MEXICO,250
6,POLAND,333
7,SOUTH KOREA,77
8,SPAIN,500
9,TUNISIA,150
10,URUGUAY,300
