,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,202
2,JAPAN,68
3,JAPAN,68
4,MOROCCO,110
5,MOROCCO,110
6,PORTUGAL,312
7,SOUTH KOREA,77
8,SOUTH KOREA,77
9,SWITZERLAND,357
10,USA,312
