,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: gold;"><b>ARGENTINA</b></span>,246
3,AUSTRALIA,278
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,JAPAN,500
6,JAPAN,500
7,MOROCCO,950
8,MOROCCO,950
9,MOROCCO,950
10,MOROCCO,950
