,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,485
2,<span style="color: gold;"><b>ARGENTINA</b></span>,485
3,<span style="color: gold;"><b>ARGENTINA</b></span>,485
4,<span style="color: brown;"><b>CROATIA</b></span>,208
5,<span style="color: silver;"><b>FRANCE</b></span>,500
6,IRAN,111
7,JAPAN,68
8,JAPAN,68
9,MOROCCO,113
10,POLAND,333
