,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,493
2,<span style="color: brown;"><b>CROATIA</b></span>,212
3,JAPAN,68
4,JAPAN,68
5,JAPAN,68
6,MOROCCO,114
7,MOROCCO,114
8,SOUTH KOREA,77
9,SOUTH KOREA,77
10,SOUTH KOREA,77
