,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,493
2,<span style="color: gold;"><b>ARGENTINA</b></span>,493
3,ENGLAND,917
4,MOROCCO,114
5,MOROCCO,114
6,MOROCCO,114
7,MOROCCO,114
8,NETHERLANDS,367
9,NETHERLANDS,367
10,PORTUGAL,385
