,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,125
2,COSTA RICA,83
3,ENGLAND,786
4,GHANA,333
5,IRAN,111
6,NETHERLANDS,344
7,SAUDI ARABIA,143
8,SENEGAL,208
9,SWITZERLAND,357
10,USA,312
