,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,485
2,BRAZIL,278
3,<span style="color: brown;"><b>CROATIA</b></span>,208
4,ENGLAND,786
5,<span style="color: silver;"><b>FRANCE</b></span>,500
6,MOROCCO,113
7,NETHERLANDS,344
8,PORTUGAL,312
9,PORTUGAL,312
10,PORTUGAL,312
