,<b>Team</b>,<b>Points</b>
1,BRAZIL,294
2,BRAZIL,294
3,<span style="color: brown;"><b>CROATIA</b></span>,212
4,<span style="color: brown;"><b>CROATIA</b></span>,212
5,<span style="color: brown;"><b>CROATIA</b></span>,212
6,<span style="color: brown;"><b>CROATIA</b></span>,212
7,MOROCCO,114
8,MOROCCO,114
9,MOROCCO,114
10,MOROCCO,114
