,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,493
2,<span style="color: gold;"><b>ARGENTINA</b></span>,493
3,AUSTRALIA,125
4,AUSTRALIA,125
5,<span style="color: silver;"><b>FRANCE</b></span>,515
6,JAPAN,68
7,MOROCCO,114
8,SAUDI ARABIA,143
9,SENEGAL,208
10,SENEGAL,208
